Mes,ID_Máquina,ID_Producto_principal,Días_operación,Horas_programadas,Parada_programada_h,Parada_operacional_h,Parada_no_programada_h,Tiempo_operativo_h,Cantidad_programada,Producción_total,Rechazadas_total,Aprobadas_total,%_Defectuosas,D01,D02,D03,D04,D05,D06,D07,D08,D09,ID_Defecto_principal,ID_Causa_principal,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F14,Total_eventos,Parada_NP_min,ID_Falla_principal,Paros_auto_hilo,Escalamientos,actividades_mantenimiento,actividades_correctivas,duracion_correctiva_min,reincidencias,mes_num,criticidad_amef,eventos_por_1000_piezas,parada_min_por_evento,objetivo_Total_eventos,objetivo_Parada_NP_min,objetivo_%_Defectuosas,objetivo_Escalamientos,objetivo_reincidencias,objetivo_criticidad_amef,Mes_objetivo,rank_Total_eventos,rank_Parada_NP_min,rank_%_Defectuosas,rank_Escalamientos,rank_reincidencias,rank_criticidad_amef,puntaje_riesgo_objetivo,riesgo_mes_siguiente
2025-11,M01,P03,25,250,12.15,1.29,2.82,233.73,21269,20287,421,19866,0.020752205846108346,9,23,107,46,39,77,0,26,94,D03,C10,1,1,24,8,10,5,2,9,0,3,1,0,64,169.36,F03,24,1,55,6,15.88,1,11,14124.0,3.154729629812195,2.64625,71.0,142.61,0.018613607188703467,0.0,1.0,15802.0,2025-12,0.05606060606060606,0.01818181818181818,0.03333333333333333,0.15151515151515152,0.04696969696969697,0.07272727272727272,0.06313131313131314,bajo
2025-01,M02,P03,27,270,14.17,1.61,3.0,251.22,22851,21801,513,21288,0.02353103068666575,43,30,139,67,17,108,0,34,75,D03,C05,4,3,34,8,9,3,2,8,0,3,1,0,75,179.94,F03,34,1,66,11,26.39,1,1,15916.0,3.440209164717215,2.3992,97.0,397.67,0.03213740055845319,3.0,3.0,21320.0,2025-02,0.6181818181818182,0.8272727272727273,0.6090909090909091,0.740909090909091,0.6439393939393939,0.5969696969696969,0.6727272727272728,alto
2025-02,M02,P03,24,240,12.15,1.05,6.63,220.17,20386,18981,610,18371,0.03213740055845319,116,35,150,61,28,62,38,32,88,D03,C01,8,3,47,6,9,1,4,8,3,5,2,1,97,397.67,F03,47,3,70,22,90.19,3,2,21320.0,5.110373531426164,4.099690721649485,87.0,167.2,0.025436219274473447,1.0,2.0,19380.0,2025-03,0.36818181818181817,0.06363636363636363,0.29393939393939394,0.3878787878787879,0.30303030303030304,0.3787878787878788,0.29924242424242425,bajo
2025-03,M02,P03,26,260,13.16,1.37,2.79,242.68,22067,21033,535,20498,0.025436219274473447,114,24,143,64,9,72,8,29,72,D03,C01,7,1,39,5,11,4,2,13,2,2,1,0,87,167.2,F03,39,1,65,13,24.98,2,3,19380.0,4.136357153045215,1.92183908045977,82.0,235.8,0.02804544800805408,1.0,2.0,19296.0,2025-04,0.24848484848484848,0.3303030303030303,0.42727272727272725,0.3878787878787879,0.30303030303030304,0.37272727272727274,0.34494949494949495,bajo
2025-04,M02,P03,26,260,13.16,1.49,3.93,241.42,22054,20859,585,20274,0.02804544800805408,125,69,111,58,64,56,0,31,71,D01,C10,7,2,29,9,9,5,4,7,2,7,1,0,82,235.8,F03,29,1,71,19,54.64,2,4,19296.0,3.9311568148041616,2.8756097560975613,64.0,187.78,0.020518705531328896,2.0,1.0,12928.0,2025-05,0.022727272727272728,0.16363636363636364,0.0696969696969697,0.5621212121212121,0.04696969696969697,0.006060606060606061,0.14520202020202022,bajo
2025-05,M02,P03,27,270,13.17,1.43,3.13,252.28,22963,21785,447,21338,0.020518705531328896,48,7,103,44,27,97,19,51,51,D03,C12,3,2,29,10,4,2,1,8,1,2,2,0,64,187.78,F03,29,2,63,10,29.34,1,5,12928.0,2.937801239384898,2.9340625,84.0,335.76,0.04050658357623882,3.0,3.0,19246.0,2025-06,0.29848484848484846,0.6787878787878788,0.8454545454545455,0.740909090909091,0.6439393939393939,0.3696969696969697,0.5962121212121212,medio
2025-06,M02,P03,25,250,13.16,1.18,5.6,230.06,21185,19898,806,19092,0.04050658357623882,118,116,138,91,58,91,0,80,114,D03,C10,6,1,34,8,4,5,1,9,3,10,3,0,84,335.76,F03,34,3,74,23,91.94,3,6,19246.0,4.221529801990149,3.997142857142857,95.0,226.73,0.033104654910447076,2.0,2.0,21968.0,2025-07,0.5666666666666667,0.29393939393939394,0.6484848484848484,0.5621212121212121,0.30303030303030304,0.6515151515151515,0.5042929292929293,medio
2025-07,M02,P03,27,270,13.17,1.57,3.78,251.48,22949,21719,719,21000,0.033104654910447076,162,33,181,71,22,125,0,39,86,D03,C01,11,1,40,7,11,4,3,10,2,4,2,0,95,226.73,F03,40,2,73,20,47.73,2,7,21968.0,4.374050370643216,2.386631578947368,71.0,374.2,0.020748890175641767,3.0,1.0,14884.0,2025-08,0.05606060606060606,0.7818181818181819,0.08484848484848485,0.740909090909091,0.04696969696969697,0.03333333333333333,0.29065656565656567,bajo
2025-08,M02,P03,26,260,13.16,1.13,6.24,239.47,22089,20724,430,20294,0.020748890175641767,24,32,102,85,42,44,27,34,40,D03,C10,2,1,34,6,5,2,2,10,2,4,2,1,71,374.2,F03,34,3,64,12,63.24,1,8,14884.0,3.425979540629222,5.270422535211267,81.0,178.17,0.025388947217714994,0.0,2.0,17202.0,2025-09,0.21818181818181817,0.11212121212121212,0.2878787878787879,0.15151515151515152,0.30303030303030304,0.1606060606060606,0.20555555555555557,bajo
2025-09,M02,P03,26,260,13.16,1.3,2.97,242.57,22076,20954,532,20422,0.025388947217714994,90,33,154,49,44,73,8,0,81,D03,C10,7,0,36,13,6,2,3,8,1,5,0,0,81,178.17,F03,36,0,65,13,28.59,2,9,17202.0,3.8656103846520953,2.1996296296296296,89.0,306.51,0.027476600871096282,2.0,2.0,19442.0,2025-10,0.4318181818181818,0.5757575757575758,0.396969696969697,0.5621212121212121,0.30303030303030304,0.39090909090909093,0.4434343434343435,medio
2025-10,M02,P03,27,270,14.17,1.49,5.11,249.23,22866,21582,593,20989,0.027476600871096282,127,73,111,48,14,53,0,36,131,D09,C10,6,1,36,11,5,4,6,9,0,9,2,0,89,306.51,F03,36,2,73,18,61.99,2,10,19442.0,4.1238068761004545,3.4439325842696626,83.0,210.13,0.02195895707346089,2.0,3.0,18220.0,2025-11,0.2727272727272727,0.24545454545454545,0.12424242424242424,0.5621212121212121,0.6439393939393939,0.2545454545454545,0.3505050505050505,bajo
2025-11,M02,P03,25,250,12.15,1.17,3.5,233.18,21279,20174,443,19731,0.02195895707346089,142,4,147,20,13,29,11,25,52,D03,C01,10,4,34,9,4,5,1,9,1,4,2,0,83,210.13,F03,34,2,70,21,53.16,3,11,18220.0,4.114206404282741,2.5316867469879516,94.0,339.56,0.036016358397620594,3.0,3.0,22508.0,2025-12,0.5424242424242425,0.693939393939394,0.7575757575757576,0.740909090909091,0.6439393939393939,0.696969696969697,0.6792929292929294,alto
2025-01,M03,P03,27,270,14.17,1.53,4.48,249.81,22861,21587,656,20931,0.030388659841571315,128,45,144,37,20,102,14,23,143,D03,C10,8,6,42,12,4,6,3,13,1,6,1,0,102,269.03,F03,42,1,77,22,58.03,3,1,21470.0,4.725066011951638,2.637549019607843,88.0,204.49,0.030645749726377236,0.0,2.0,19202.0,2025-02,0.3984848484848485,0.22424242424242424,0.5515151515151515,0.15151515151515152,0.30303030303030304,0.3575757575757576,0.3310606060606061,bajo
2025-02,M03,P03,24,240,12.15,1.55,3.41,222.89,20344,19187,588,18599,0.030645749726377236,59,47,162,114,21,79,26,0,80,D03,C10,3,2,31,18,9,1,5,10,5,4,0,0,88,204.49,F03,31,0,62,14,32.53,2,2,19202.0,4.5864387345598585,2.32375,101.0,377.41,0.03574555004377006,3.0,3.0,23400.0,2025-03,0.696969696969697,0.7848484848484848,0.7454545454545455,0.740909090909091,0.6439393939393939,0.7333333333333333,0.7242424242424242,alto
2025-03,M03,P03,26,260,13.16,1.48,6.29,239.07,22056,20562,735,19827,0.03574555004377006,73,103,177,80,47,61,20,55,119,D03,C10,4,4,38,9,11,2,6,11,4,9,3,0,101,377.41,F03,38,3,76,24,89.68,3,3,23400.0,4.911973543429628,3.736732673267327,101.0,259.93,0.031047865459249677,1.0,3.0,21854.0,2025-04,0.696969696969697,0.42424242424242425,0.5666666666666667,0.3878787878787879,0.6439393939393939,0.6454545454545455,0.5608585858585858,medio
2025-04,M03,P03,26,260,13.16,1.27,4.33,241.23,22075,20871,648,20223,0.031047865459249677,151,38,147,66,37,111,20,18,60,D01,C01,9,3,44,11,7,5,3,10,3,5,1,0,101,259.93,F03,44,1,73,21,54.04,3,4,21854.0,4.8392506348521875,2.573564356435644,91.0,309.1,0.030549236269093272,4.0,2.0,19682.0,2025-05,0.47878787878787876,0.5878787878787879,0.5484848484848485,0.8833333333333333,0.30303030303030304,0.40606060606060607,0.5345959595959596,medio
2025-05,M03,P03,27,270,13.17,1.38,5.15,250.3,22966,21539,658,20881,0.030549236269093272,108,2,162,77,23,33,25,126,102,D03,C11,6,2,34,14,6,5,2,13,2,3,4,0,91,309.1,F03,34,4,70,17,57.74,2,5,19682.0,4.22489437764056,3.396703296703297,96.0,412.78,0.0382391723298509,3.0,4.0,22112.0,2025-06,0.5924242424242424,0.8515151515151516,0.796969696969697,0.740909090909091,0.8393939393939394,0.6696969696969697,0.7484848484848484,alto
2025-06,M03,P03,25,250,13.16,1.35,6.88,228.61,21167,19718,754,18964,0.0382391723298509,78,83,129,76,57,90,40,66,135,D09,C10,6,2,42,5,8,5,5,5,4,11,3,0,96,412.78,F03,42,3,77,26,111.79,4,6,22112.0,4.868647935896135,4.299791666666667,107.0,331.08,0.02719985172142162,3.0,3.0,22074.0,2025-07,0.7651515151515151,0.6696969696969697,0.3787878787878788,0.740909090909091,0.6439393939393939,0.6666666666666666,0.6441919191919192,medio
2025-07,M03,P03,27,270,13.17,1.21,5.52,250.1,22980,21581,587,20994,0.02719985172142162,45,42,169,45,53,39,6,71,117,D03,C10,3,5,47,13,4,2,5,14,3,8,3,0,107,331.08,F03,47,3,75,22,68.07,3,7,22074.0,4.958064964552152,3.0942056074766353,97.0,350.6,0.0327028203763727,2.0,3.0,21046.0,2025-08,0.6181818181818182,0.7121212121212122,0.6363636363636364,0.5621212121212121,0.6439393939393939,0.5696969696969697,0.6237373737373738,medio
2025-08,M03,P03,26,260,13.16,1.38,5.84,239.62,22064,20671,676,19995,0.0327028203763727,49,73,176,94,18,106,26,33,101,D03,C10,2,4,39,14,8,3,5,7,5,8,2,0,97,350.6,F03,39,2,73,21,75.9,3,8,21046.0,4.692564462290165,3.6144329896907217,96.0,1136.99,0.039815289892252435,4.0,4.0,22142.0,2025-09,0.5924242424242424,1.0,0.8303030303030303,0.8833333333333333,0.8393939393939394,0.6787878787878788,0.804040404040404,alto
2025-09,M03,P03,26,260,13.16,1.26,18.95,226.63,22079,19490,776,18714,0.039815289892252435,153,46,176,70,47,67,43,68,106,D03,C10,9,5,40,9,9,1,3,6,4,6,2,2,96,1136.99,F03,40,4,80,28,331.62,4,9,22142.0,4.925602873268343,11.843645833333333,106.0,334.93,0.03883630938505292,3.0,3.0,24102.0,2025-10,0.753030303030303,0.6757575757575758,0.8090909090909091,0.740909090909091,0.6439393939393939,0.7636363636363637,0.7310606060606061,alto
2025-10,M03,P03,27,270,14.17,1.27,5.58,248.97,22882,21449,833,20616,0.03883630938505292,105,70,184,130,14,87,76,68,99,D03,C10,6,1,46,11,13,2,2,10,7,5,3,0,106,334.93,F03,46,3,77,22,69.51,3,10,24102.0,4.9419553359130965,3.1597169811320756,77.0,241.26,0.029411764705882353,2.0,2.0,16544.0,2025-11,0.13484848484848486,0.36363636363636365,0.49393939393939396,0.5621212121212121,0.30303030303030304,0.11515151515151516,0.3287878787878788,bajo
2025-11,M03,P03,25,250,12.15,1.24,4.02,232.59,21270,20026,589,19437,0.029411764705882353,68,59,141,63,30,68,0,76,84,D03,C10,3,2,35,8,10,5,0,8,0,4,2,0,77,241.26,F03,35,2,60,11,34.47,2,11,16544.0,3.8450014980525316,3.133246753246753,101.0,316.33,0.03507056029062457,3.0,4.0,22130.0,2025-12,0.696969696969697,0.6121212121212121,0.7212121212121212,0.740909090909091,0.8393939393939394,0.6727272727272727,0.7138888888888889,alto
2025-01,M04,P03,27,270,14.17,1.5,6.46,247.87,22866,21245,1021,20224,0.04805836667451165,251,62,173,175,18,55,54,135,98,D01,C01,12,4,50,15,12,3,5,17,9,4,5,0,136,387.44,F03,50,5,89,34,96.86,6,1,31440.0,6.401506236761591,2.8488235294117645,109.0,347.96,0.03316609453393187,3.0,4.0,25006.0,2025-02,0.7863636363636364,0.703030303030303,0.6545454545454545,0.740909090909091,0.8393939393939394,0.8151515151515152,0.7565656565656566,alto
2025-02,M04,P03,24,240,12.15,1.33,5.8,220.72,20361,18935,628,18307,0.03316609453393187,86,21,165,116,42,33,30,50,85,D03,C09,7,2,43,12,14,6,2,10,5,5,3,0,109,347.96,F03,43,3,70,22,70.23,4,2,25006.0,5.756535516239767,3.1922935779816513,112.0,370.8,0.037240774997565965,3.0,4.0,25060.0,2025-03,0.8242424242424242,0.7666666666666667,0.7909090909090909,0.740909090909091,0.8393939393939394,0.8181818181818182,0.7967171717171717,alto
2025-03,M04,P03,26,260,13.16,1.12,6.18,239.53,22087,20542,765,19777,0.037240774997565965,142,58,178,88,25,33,9,86,146,D03,C10,8,4,46,10,11,2,8,11,2,7,3,0,112,370.8,F03,46,3,76,24,79.46,4,3,25060.0,5.45224418265018,3.310714285714286,110.0,386.52,0.04220210280373832,3.0,3.0,24154.0,2025-04,0.7984848484848485,0.8090909090909091,0.8818181818181818,0.740909090909091,0.6439393939393939,0.7696969696969697,0.7739898989898991,alto
2025-04,M04,P03,26,260,13.16,1.19,6.44,239.2,22084,20544,867,19677,0.04220210280373832,88,85,248,104,36,110,0,92,104,D03,C05,5,2,46,13,15,5,8,6,1,6,3,0,110,386.52,F03,46,3,69,17,59.74,3,4,24154.0,5.354361370716511,3.5138181818181815,125.0,419.34,0.035545798495959645,4.0,3.0,25738.0,2025-05,0.9181818181818182,0.8696969696969697,0.7393939393939394,0.8833333333333333,0.6439393939393939,0.8484848484848485,0.8171717171717172,alto
2025-05,M04,P03,27,270,13.17,1.05,6.99,248.8,22994,21409,761,20648,0.035545798495959645,87,29,238,60,20,90,0,100,137,D03,C05,5,6,58,12,12,6,7,10,0,5,4,0,125,419.34,F03,58,4,73,20,67.09,3,5,25738.0,5.838665981596526,3.35472,111.0,287.5,0.04032543332154227,1.0,3.0,24770.0,2025-06,0.8136363636363636,0.49393939393939396,0.8424242424242424,0.3878787878787879,0.6439393939393939,0.806060606060606,0.6646464646464646,alto
2025-06,M04,P03,25,250,13.16,1.28,4.79,230.77,21176,19789,798,18991,0.04032543332154227,162,89,206,102,26,67,9,39,98,D03,C01,8,2,39,18,10,2,6,17,2,6,1,0,111,287.5,F03,39,1,70,19,49.21,3,6,24770.0,5.609176815402496,2.59009009009009,117.0,473.15,0.04409204272740106,5.0,5.0,27780.0,2025-07,0.853030303030303,0.9272727272727272,0.9151515151515152,0.9621212121212122,0.9378787878787879,0.9121212121212121,0.9179292929292928,alto
2025-07,M04,P03,27,270,13.17,1.12,7.89,247.83,22988,21251,937,20314,0.04409204272740106,108,76,193,85,34,98,63,146,134,D03,C10,6,1,46,12,13,3,4,8,7,12,5,0,117,473.15,F03,46,5,84,31,125.37,5,7,27780.0,5.505623264787539,4.044017094017094,136.0,410.6,0.053990724920673666,3.0,5.0,32410.0,2025-08,0.9848484848484849,0.8484848484848485,0.9939393939393939,0.740909090909091,0.9378787878787879,0.996969696969697,0.9171717171717172,alto
2025-08,M04,P03,26,260,13.16,1.2,6.84,238.79,22083,20485,1106,19379,0.053990724920673666,271,127,155,90,53,96,27,74,213,D01,C01,17,2,46,12,12,9,8,16,2,9,3,0,136,410.6,F03,46,3,85,33,99.63,5,8,32410.0,6.639004149377593,3.019117647058824,114.0,319.58,0.04270272890310697,3.0,4.0,24516.0,2025-09,0.8303030303030303,0.6212121212121212,0.8909090909090909,0.740909090909091,0.8393939393939394,0.7878787878787878,0.7851010101010102,alto
2025-09,M04,P03,26,260,13.16,1.3,5.33,240.21,22071,20631,881,19750,0.04270272890310697,143,41,184,141,31,120,27,63,131,D03,C01,6,5,51,10,11,3,7,9,5,4,3,0,114,319.58,F03,51,3,75,23,64.48,4,9,24516.0,5.525665261014978,2.8033333333333332,129.0,445.8,0.04105530474040632,3.0,5.0,29438.0,2025-10,0.9590909090909091,0.9,0.8636363636363636,0.740909090909091,0.9378787878787879,0.9606060606060606,0.8936868686868688,alto
2025-10,M04,P03,27,270,14.17,1.41,7.43,246.99,22873,21264,873,20391,0.04105530474040632,98,51,259,130,89,17,15,60,154,D03,C05,4,9,48,13,17,0,10,12,3,10,3,0,129,445.8,F03,48,3,84,29,100.22,5,10,29438.0,6.066591422121896,3.4558139534883723,98.0,248.81,0.03316633266533066,0.0,3.0,20744.0,2025-11,0.6454545454545455,0.3878787878787879,0.6575757575757576,0.15151515151515152,0.6439393939393939,0.5181818181818182,0.5007575757575757,medio
2025-11,M04,P03,25,250,12.15,1.11,4.15,232.59,21278,19960,662,19298,0.03316633266533066,90,87,165,38,44,105,0,0,133,D03,C10,6,2,45,11,9,2,9,6,1,7,0,0,98,248.81,F03,45,0,65,16,40.62,3,11,20744.0,4.909819639278557,2.5388775510204082,119.0,328.28,0.04230031350896074,2.0,4.0,26840.0,2025-12,0.8787878787878788,0.6545454545454545,0.8878787878787879,0.5621212121212121,0.8393939393939394,0.8696969696969697,0.782070707070707,alto
2025-01,M05,P03,27,270,14.17,1.55,4.77,249.51,22858,21620,463,21157,0.02141535615171138,44,40,92,23,37,59,22,59,87,D03,C10,3,1,34,5,5,4,3,9,2,4,3,0,73,286.18,F03,34,3,68,13,50.96,1,1,15456.0,3.3765032377428303,3.92027397260274,68.0,148.75,0.027684346701164295,0.0,2.0,15160.0,2025-02,0.03484848484848485,0.03636363636363636,0.4090909090909091,0.15151515151515152,0.30303030303030304,0.03939393939393939,0.16237373737373736,bajo
2025-02,M05,P03,24,240,12.15,1.37,2.48,224.0,20362,19325,535,18790,0.027684346701164295,105,32,94,95,22,78,68,0,41,D01,C09,4,5,27,6,7,3,3,6,4,3,0,0,68,148.75,F03,27,0,64,16,35.0,2,2,15160.0,3.51875808538163,2.1875,79.0,220.59,0.025643469971401333,1.0,1.0,18232.0,2025-03,0.17424242424242425,0.2787878787878788,0.30606060606060603,0.3878787878787879,0.04696969696969697,0.26515151515151514,0.24318181818181817,bajo
2025-03,M05,P03,26,260,13.16,1.23,3.68,241.93,22080,20980,538,20442,0.025643469971401333,60,46,134,64,28,77,0,36,93,D03,C10,4,2,32,8,14,1,5,6,2,4,1,0,79,220.59,F03,32,1,65,13,36.3,1,3,18232.0,3.765490943755958,2.792278481012658,79.0,216.89,0.02265557786062518,0.0,2.0,16894.0,2025-04,0.17424242424242425,0.2636363636363636,0.14242424242424243,0.15151515151515152,0.30303030303030304,0.14242424242424243,0.1962121212121212,bajo
2025-04,M05,P03,26,260,13.16,1.38,3.61,241.84,22068,20922,474,20448,0.02265557786062518,68,53,130,58,43,25,5,0,92,D03,C10,4,3,33,10,6,4,5,6,1,7,0,0,79,216.89,F03,33,0,67,15,41.18,2,4,16894.0,3.7759296434375296,2.7454430379746833,88.0,258.37,0.03343912423531576,2.0,3.0,19880.0,2025-05,0.3984848484848485,0.41818181818181815,0.6727272727272727,0.5621212121212121,0.6439393939393939,0.4257575757575758,0.5202020202020202,medio
2025-05,M05,P03,27,270,13.17,1.58,4.31,250.95,22947,21741,727,21014,0.03343912423531576,148,34,153,106,40,79,46,57,64,D03,C01,9,2,36,13,6,1,3,5,6,5,2,0,88,258.37,F03,36,2,77,24,70.46,3,5,19880.0,4.047651901936434,2.9360227272727273,73.0,448.65,0.03139422833088198,3.0,3.0,17250.0,2025-06,0.07727272727272727,0.906060606060606,0.5757575757575758,0.740909090909091,0.6439393939393939,0.1696969696969697,0.5189393939393939,medio
2025-06,M05,P03,25,250,13.16,1.35,7.48,228.01,21169,19717,619,19098,0.03139422833088198,156,91,91,46,38,63,22,55,57,D01,C01,9,1,28,9,5,2,3,4,2,7,2,1,73,448.65,F03,28,3,73,22,135.21,3,6,17250.0,3.702388801541817,6.145890410958904,84.0,836.93,0.023300412311822803,4.0,1.0,18862.0,2025-07,0.29848484848484846,0.9848484848484849,0.17272727272727273,0.8833333333333333,0.04696969696969697,0.32272727272727275,0.4515151515151515,medio
2025-07,M05,P03,27,270,13.17,1.49,13.95,241.4,22953,20858,486,20372,0.023300412311822803,49,52,124,44,23,42,11,58,83,D03,C10,3,1,32,11,12,6,3,7,1,4,3,1,84,836.93,F03,32,4,66,13,129.52,1,7,18862.0,4.027231757599003,9.963452380952381,80.0,221.4,0.02607156525066973,1.0,3.0,17432.0,2025-08,0.19242424242424241,0.28484848484848485,0.3303030303030303,0.3878787878787879,0.6439393939393939,0.19393939393939394,0.33888888888888885,bajo
2025-08,M05,P03,26,260,13.16,1.22,3.69,241.93,22081,20904,545,20359,0.02607156525066973,117,37,134,65,9,38,49,19,77,D03,C01,7,5,33,10,5,5,3,2,6,3,1,0,80,221.4,F03,33,1,74,22,60.89,3,8,17432.0,3.827018752391887,2.7675,75.0,114.53,0.02271544176801855,0.0,1.0,16242.0,2025-09,0.10151515151515152,0.006060606060606061,0.15151515151515152,0.15151515151515152,0.04696969696969697,0.09696969696969697,0.09242424242424242,bajo
